key,place,name,bounds,query,score
בארות_יצחק,village,"[""בארות יצחק""]","[34.9061484, 32.0364882, 34.9145174, 32.0459842]",בארות יצחק,79.47202400000596
בארותיים,village,"[""בארותיים""]","[34.97273, 32.3141784, 34.9937368, 32.3288578]",בארותיים,308.3672199200007
בארי,village,"[""בארי""]","[34.4859825, 31.4200416, 34.4959594, 31.4275407]",בארי,74.81777078998975
בודרוס,village,"[""בודרוס""]","[34.9889123, 31.9642142, 35.0037289, 31.972333]",בודרוס,120.29301207994315
בוסתן_הגליל,village,"[""בוסתן הגליל""]","[35.0773118, 32.9453782, 35.088952, 32.9572116]",בוסתן הגליל,137.74314268003124
בוקעאתא,village,"[""בוקעאתא""]","[35.7488715, 33.1807388, 35.8090418, 33.2388244]",בוקעאתא,3495.0279776800658
בורגתה,village,"[""בורגתה""]","[34.9565897, 32.3172288, 34.968137, 32.3332642]",בורגתה,185.16557441994325
בורקה,village,"[""בורקה""]","[35.1834447, 32.2934787, 35.1982743, 32.3047253]",בורקה,166.7825793599829
בחן,village,"[""בחן""]","[35.0151026, 32.3473917, 35.0250375, 32.3552761]",בחן,78.3307255599837
בטחה,village,"[""בטחה""]","[34.6227177, 31.3302729, 34.6437274, 31.3396384]",בטחה,196.76634534995594
ביאדה,village,"[""ביאדה""]","[35.1635662, 32.5548801, 35.1678363, 32.5605409]",ביאדה,24.17218208000137
ביצרון,village,"[""ביצרון""]","[34.7147818, 31.7884801, 34.7488535, 31.8045075]",ביצרון,546.0807645800433
ביר_א_סיכה,village,"[""ביר א-סיכה""]","[35.024676, 32.3594527, 35.0383826, 32.3695495]",ביר א-סיכה,138.39279887998265
ביר_אל_מכסור,village,"[""ביר אל מכסור""]","[35.2148081, 32.7696958, 35.2291113, 32.7861109]",ביר אל מכסור,234.78845831995312
